AG,,CDH,,CSyM(medioambiente)
,,,,
EEUUO,,,,
Argentina,,,,
La Nueva Judea (Israel),,,,
Mexico,,,,
Reino Unido,,,,
Italia (ultra religioso),,,,
España,,,,
Liga Arabe (Tec + rel),,,,
Pakistán,,,,
China,,,,
Rusia,,,,
Iran,,,,
Egipto (Rel),,,,
Sudafrica (T d M),,,,
Republica Democratica del Congo (Tecn),,,,
EEUUE,,,,
India,,,,
Aether,,,,
Umah,,,,
Chad,,,,
Alemania,,,,
Francia,,,,
Brasil,,,,
Ucrania,,,,
Turquia,,,,
Chile,,,,
Canada,,,,
Somalia,,,,
Japón,,,,
Colombia,,,,
Polonia,,,,
